original,snake_case
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,children_with_fever_or_symptoms_of_ari_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct
Children under age 3 years breastfed within one hour of birth15 (%),children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct
Children under age 6 months exclusively breastfed16 (%),children_under_age_6_months_exclusively_breastfed16_pct
Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),children_age_6_8_months_receiving_solid_or_semi_solid_food_and_breastmilk16_pct
"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",non_breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
"Total children age 6-23 months receiving an adequate diet16, 17  (%)",total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct
Children under 5 years who are stunted (height-for-age)18 (%),children_under_5_years_who_are_stunted_height_for_age_18_pct
Children under 5 years who are wasted (weight-for-height)18 (%),children_under_5_years_who_are_wasted_weight_for_height_18_pct
Children under 5 years who are severely wasted (weight-for-height)19 (%),children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct
Children under 5 years who are underweight (weight-for-age)18 (%),children_under_5_years_who_are_underweight_weight_for_age_18_pct
Children under 5 years who are overweight (weight-for-height)20 (%),children_under_5_years_who_are_overweight_weight_for_height_20_pct
Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),women_age_15_49_years_whose_body_mass_index_bmi_is_below_normal_bmi_18_5_kg_m2_21_pct
Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct
Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),women_age_15_49_years_who_have_high_risk_waist_to_hip_ratio_0_85_pct
Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct
All women age 15-49 years who are anaemic22 (%),all_women_age_15_49_years_who_are_anaemic22_pct
All women age 15-19 years who are anaemic22 (%) ,all_women_age_15_19_years_who_are_anaemic22_pct
Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),women_age_15_years_and_above_with_high_141_160_mg_dl_blood_sugar_level23_pct
Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),women_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct
Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),women_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct
Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),men_age_15_years_and_above_wih_high_141_160_mg_dl_blood_sugar_level23_pct
Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),men_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct
Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),men_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct
Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),women_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct
Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),women_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct
Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),women_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct
Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),men_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct
Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),men_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct
Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),men_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct
Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),women_age_30_49_years_ever_undergone_a_screening_test_for_cervical_cancer_pct
Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),women_age_30_49_years_ever_undergone_a_breast_examination_for_breast_cancer_pct
Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),women_age_30_49_years_ever_undergone_an_oral_cavity_examination_for_oral_cancer_pct
Women age 15 years and above who use any kind of tobacco (%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_pct
Men age 15 years and above who use any kind of tobacco (%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_pct
Women age 15 years and above who consume alcohol (%),women_age_15_years_and_above_who_consume_alcohol_pct
Men age 15 years and above who consume alcohol (%),men_age_15_years_and_above_who_consume_alcohol_pct
